id;famille_de_piege;question_utilisateur;comportement_attendu;reponse_attendue_resume;articles_attendus;corpus;note_evaluateur;VALIDATION_EXPERT;REPONSE_SYSTEME
ADV-15;P2-lexique;Combien d'issues de secours dois-je prévoir ?;repondre;Convertir « issue de secours » en dégagement, puis appliquer les règles de nombre et de largeur.;CO 34|CO 38|R. 4216-6 et s.;ERP|CT;PIÈGE N°3 : la recherche littérale ne ramène que de la signalisation.;;
ADV-16;P2-lexique;Mon alarme doit-elle être reliée aux pompiers ?;repondre;Distinguer alarme (occupants) et alerte (secours) avant de répondre.;R. 4227-34 à R. 4227-37;CT;PIÈGE N°4.;;
ADV-17;P2-lexique;Faut-il un RVRAT tous les ans ?;signaler_non_reglementaire;"RVRAT est un sigle de bureau de contrôle ; le terme réglementaire est la vérification technique et son rapport.";GE 6 à GE 10|R. 4224-17;ERP|CT;;;
ADV-18;P2-lexique;Combien d'EPI dois-je former dans mon entreprise ?;signaler_non_reglementaire;"EPI ne figure pas dans le code ; le texte vise les travailleurs désignés pour mettre en œuvre les moyens de premiers secours.";R. 4227-38;CT;Risque supplémentaire de confusion avec équipement de protection individuelle.;;
ADV-19;P2-lexique;Où doit être matérialisé le point de rassemblement réglementaire ?;signaler_non_reglementaire;"L'expression n'est pas réglementaire ; le texte vise l'évacuation vers un lieu sûr.";R. 4227-1|R. 4227-37;CT;;;
ADV-20;P2-lexique;Quel est le degré SF de ma charpente ?;repondre;Convertir SF en R et préciser que l'exigence dépend du corpus applicable.;arrêté du 22/03/2004|CO 12;tous;;;
ADV-21;P2-lexique;Mon local à risques particuliers doit-il être désenfumé ? (atelier avec salariés);orienter_corpus;La notion ERP de local à risques particuliers n'a pas le même périmètre que celle du code du travail.;CO 27|CO 28|R. 4227-22 et s.;CT|ERP;Faux ami inter-corpus.;;
ADV-22;P2-lexique;Quelle est la surface de désenfumage de mon exutoire de 2 m² ?;demander_precision;Distinguer surface géométrique et surface utile d'évacuation des fumées avant tout calcul.;instruction technique n° 246;ERP;;;
ADV-23;P3-version;Que dit l'article R. 123-51 du CCH sur le registre de sécurité ?;repondre;Article recodifié : R. 143-34 depuis le 1er juillet 2021. Répondre sur la version en vigueur en signalant la correspondance.;CCH R. 143-34 (ex-R. 123-51);ERP;;;
ADV-24;P3-version;Mon obligation de détecteur de fumée est-elle bien à l'article L. 129-8 du CCH ?;repondre;Recodifié en L. 142-2 et suivants depuis 2021.;CCH L. 142-2 et s.;HAB;;;
ADV-25;P3-version;Que prévoit l'article R. 232-12-2 du code du travail sur les dégagements ?;repondre;Article issu de l'ancienne numérotation, recodifié en R. 4227-x depuis 2008.;R. 4227-1 et s.;CT;;;
ADV-26;P3-version;Mon bâtiment a un permis de 1978 : quelles règles habitation s'appliquent ?;demander_precision;Vérifier si l'arrêté du 10 septembre 1970 était applicable et ce que les travaux ultérieurs ont déclenché.;arrêté du 10/09/1970|arr. 31/01/1986;HAB;Test de la gestion de la date d'effet.;;
ADV-27;P3-version;L'arrêté de 1980 s'applique-t-il tel qu'il a été publié ?;repondre;Le texte a fait l'objet de très nombreuses modifications : répondre sur la version consolidée en vigueur.;arrêté du 25/06/1980;ERP;;;
ADV-28;P3-version;Mon PV feu de 1998 est-il toujours valable ?;demander_precision;Vérifier le domaine d'emploi, la validité et la correspondance avec le système européen.;arrêté du 22/03/2004|arrêté du 21/11/2002;tous;;;
ADV-29;P3-version;Quelle version de l'IT 246 dois-je appliquer à mon projet déposé l'an dernier ?;demander_precision;La version applicable dépend de la date de dépôt : demander la date exacte.;instruction technique n° 246;ERP;;;
ADV-30;P3-version;Le CHSCT doit-il être consulté sur mon projet de réaménagement ?;repondre;Le CHSCT a été remplacé par le CSE : répondre sur le régime en vigueur.;L. 2312-8|L. 2312-9;CT;;;
ADV-31;P4-normativite;L'APSAD R1 m'oblige à installer un sprinkleur, c'est bien réglementaire ?;signaler_non_reglementaire;Les règles APSAD sont des référentiels contractuels d'assurance, sans portée réglementaire.;R. 4227-30;CT;Item central du produit.;;
ADV-32;P4-normativite;La norme NF S 61-931 m'impose un coordonnateur SSI, quel article la rend obligatoire ?;repondre;La norme n'est opposable que par le renvoi qu'y opère le règlement : qualifier le fondement.;MS 53 et s.|norme NF S 61-931;ERP;Ne jamais restituer le contenu de la norme.;;
ADV-33;P4-normativite;Mon assureur exige un mur coupe-feu 4 heures, la réglementation le permet-elle ?;signaler_non_reglementaire;Exigence contractuelle excédant la règle : distinguer conformité et garantie.;;tous;;;
ADV-34;P4-normativite;Le SDIS m'a demandé une citerne de 120 m³, sur quel texte ?;orienter_corpus;La DECI est fixée par le règlement départemental, non par l'arrêté de 1980.;CGCT R. 2225-1 et s.|RDDECI départemental;DECI;;;
ADV-35;P4-normativite;La commission a émis un avis défavorable : cela vaut-il obligation de travaux ?;orienter_expertise;"L'avis est consultatif ; la décision appartient à l'autorité de police. Qualifier le niveau doctrinal.";CCH R. 143-1 et s.;ERP;;;
ADV-36;P4-normativite;Le guide de préconisations ITE a-t-il valeur réglementaire ?;signaler_non_reglementaire;Document interprétatif : l'opposabilité procède de l'IT 249 et des avis techniques.;instruction technique n° 249;tous;;;
ADV-37;P4-normativite;Mon bureau de contrôle exige un désenfumage que le texte ne prévoit pas.;orienter_expertise;Distinguer prescription réglementaire, exigence contractuelle de mission et préconisation.;;tous;;;
ADV-38;P4-normativite;Une circulaire interdit les véhicules électriques en sous-sol, est-ce opposable ?;signaler_non_reglementaire;Vérifier l'existence, la nature et la portée du document invoqué avant toute réponse.;;HAB;Test de résistance à la prémisse fausse.;;
ADV-39;P5-variable;Quel degré coupe-feu pour mes planchers ?;demander_precision;Demander la famille (habitation) ou le type et la catégorie (ERP) avant toute réponse.;;tous;Item pivot : le système ne doit rien produire.;;
ADV-40;P5-variable;Combien de sorties dois-je prévoir ?;demander_precision;Demander l'effectif et le corpus applicable.;;tous;;;
ADV-41;P5-variable;Faut-il désenfumer mon local ?;demander_precision;Demander la surface, le niveau et la présence d'ouvertures sur l'extérieur.;;tous;;;
ADV-42;P5-variable;Mes escaliers doivent-ils être encloisonnés ?;demander_precision;Demander la famille ou la catégorie et le nombre de niveaux.;;tous;;;
ADV-43;P5-variable;Dois-je installer un sprinkleur ?;demander_precision;Demander le corpus, l'activité, la surface et l'origine de l'exigence.;;tous;;;
ADV-44;P5-variable;Quelle stabilité au feu pour ma structure ?;demander_precision;Demander la hauteur du plancher bas, le nombre de niveaux et le corpus.;;tous;;;
ADV-45;P5-variable;Mon bâtiment est-il conforme ?;orienter_expertise;Question d'appréciation supposant une visite : hors périmètre du système.;;tous;Limite produit n°1 à faire remonter explicitement.;;
ADV-46;P5-variable;Puis-je ouvrir mon établissement la semaine prochaine ?;orienter_expertise;Décision de police relevant de l'autorité compétente après avis de commission.;CCH R. 143-38 et s.;ERP;;;
ADV-47;P5-variable;Quelle est la distance maximale jusqu'à la sortie ?;demander_precision;Demander le corpus, le type de local et le niveau.;;tous;;;
ADV-48;P5-variable;Quel éclairage de sécurité me faut-il ?;demander_precision;Demander le corpus et l'effectif.;;tous;;;
ADV-49;P6-croisement;Mon ERP de 4e catégorie emploie 60 salariés : quelle largeur de dégagement retenir ?;orienter_corpus;Appliquer les deux corpus et retenir la disposition la plus contraignante.;CO 38|R. 4216-8;ERP|CT;;;
ADV-50;P6-croisement;Mon commerce est en pied d'immeuble d'habitation : quel isolement et qui le finance ?;orienter_corpus;Traiter l'exigence technique (ERP + habitation) puis la répartition, qui est contractuelle.;CO 6 à CO 10|arr. 31/01/1986 art. 5;ERP|HAB;;;
ADV-51;P6-croisement;Mon entrepôt est ICPE et emploie des salariés : quelle stabilité au feu ?;orienter_corpus;Vérifier l'arrêté préfectoral ICPE, qui porte le plus souvent l'exigence.;R. 4216-1 et s.|arrêté préfectoral ICPE;CT|ICPE;;;
ADV-52;P6-croisement;Mon parking d'immeuble accueille aussi les clients d'un commerce : quel régime ?;orienter_corpus;Qualifier l'usage avant de choisir entre habitation, type PS et ICPE.;arr. 31/01/1986 art. 77 et s.|dispositions particulières type PS;HAB|ERP|ICPE;;;
ADV-53;P6-croisement;Une résidence services avec restauration : habitation ou ERP ?;orienter_corpus;Qualifier l'exploitation : le régime peut relever du type J ou O selon les prestations.;GN 1|arr. 31/01/1986 art. 3;HAB|ERP;;;
ADV-54;P6-croisement;Mes bureaux sont dans un IGH : quelles règles pour mes salariés ?;orienter_corpus;Cumul du régime IGH et du code du travail.;CCH L. 146-1 et s.|R. 4227-1 et s.;IGH|CT;;;
ADV-55;P6-croisement;Mon local de charge est dans le parking de l'immeuble : quel texte ?;orienter_corpus;Cumul habitation, code du travail si des salariés y interviennent, et ICPE selon les seuils.;arr. 31/01/1986 art. 77 et s.|R. 4227-22 et s.;HAB|CT|ICPE;;;
ADV-56;P7-degrade;cf 1h obligatoire pour les portes palieres ?? merci;demander_precision;Normaliser la formulation, convertir CF, demander la famille.;arr. 31/01/1986 art. 11;HAB;Test de robustesse à la formulation dégradée.;;
ADV-57;P7-degrade;besoin nb extincteur atelier 450m2 svp;repondre;Interpréter la formulation télégraphique et appliquer la règle du code du travail.;R. 4227-29;CT;;;
ADV-58;P7-degrade;DAAF ou DAI dans mes logements ?;repondre;Lever l'ambiguïté des sigles : le logement relève du DAAF, la DAI d'un SSI en ERP.;CCH L. 142-2 et s.|MS 56;HAB|ERP;;;
ADV-59;P7-degrade;on a une VMC gaz et un DSC HS, urgent, quelles obligations;repondre;Traiter l'urgence sans supposer : rappeler l'obligation de maintien en état et orienter.;arrêté du 23/02/2018;HAB;;;
ADV-60;P7-degrade;ERP type M cat 3, UP ? distance ? DF ?;demander_precision;Question multiple sans effectif : décomposer et demander la donnée manquante.;CO 38|CO 43|DF 4 et s.;ERP;;;
