id;theme;terme_prefere;definition;synonymes_usage;termes_obsoletes;faux_amis;corpus_ERP;corpus_CT;corpus_HAB;autres_sources;variables_determinantes;niveau_normativite;stade;profils;note_preventionniste;confiance_reference;VALIDATION_EXPERT
NOT-0011;T1 — Classement, champ d'application, seuils;mesure compensatoire;Disposition supplémentaire justifiant qu'un niveau de sécurité équivalent est atteint malgré un écart à la règle.;compensation | mesure de substitution | solution alternative;;;GN 4 | GN 5;;;;type_erp | categorie_erp;doctrinal;conception | exploitation;architecte;Le contenu relève de l'appréciation de la commission : le système doit orienter, pas trancher.;a_verifier;
NOT-0012;T1 — Classement, champ d'application, seuils;installation classée pour la protection de l'environnement;Régime distinct s'appliquant aux activités et stockages dépassant les seuils de la nomenclature.;ICPE | rubrique 1510 | on est classé | arrêté préfectoral;;;;;;Code de l'environnement L. 511-1 et s. | nomenclature ICPE;nature_risque;reglementaire;conception | exploitation;dirigeant | gestionnaire;En cas de concurrence avec le code du travail, la disposition la plus contraignante s'applique.;a_verifier;
NOT-0013;T2 — Accès des secours, implantation, façades;voie engin;Voie utilisable par les engins de secours, définie par des caractéristiques de largeur, force portante, pente et rayon de giration.;accès pompiers | voie pompier | la route pour les camions;;;CO 2 | CO 3 | CO 5;;arr. 31/01/1986 art. 4;;type_erp | categorie_erp | famille_habitation;reglementaire;conception | exploitation;architecte | gestionnaire;;haute;
NOT-0014;T2 — Accès des secours, implantation, façades;voie échelle;Section de voie engin permettant la mise en station des moyens élévateurs aériens.;accès grande échelle | emplacement pour la nacelle;;;CO 2 | CO 4 | CO 5;;arr. 31/01/1986 art. 4;;hauteur_plancher_bas | famille_habitation;reglementaire;conception | exploitation;architecte | gestionnaire;;a_verifier;
NOT-0015;T2 — Accès des secours, implantation, façades;espace libre;Espace permettant l'accès et la mise en œuvre des moyens de secours à défaut de voie engin.;dégagement extérieur | la cour;;;CO 2;;;;type_erp;reglementaire;conception | exploitation;architecte;;a_verifier;
NOT-0016;T2 — Accès des secours, implantation, façades;façade accessible;Façade permettant aux services de secours d'accéder à tous les niveaux par des baies répondant à des caractéristiques définies.;façade pompier | combien de côtés accessibles;;;CO 2 | CO 3;;arr. 31/01/1986 art. 4;;categorie_erp | famille_habitation;reglementaire;conception | exploitation;architecte;;a_verifier;
NOT-0017;T2 — Accès des secours, implantation, façades;défense extérieure contre l'incendie;Ensemble des points d'eau incendie destinés à l'alimentation des moyens de lutte, dimensionné au niveau départemental.;poteau incendie | borne à incendie | la bouche dans la rue | DECI | besoins en eau;;;;;;CGCT L. 2225-1 et s. | CGCT R. 2225-1 et s. | RDDECI départemental;nature_risque | surface_local;reglementaire;conception | exploitation;architecte | dirigeant;Ne pas chercher dans l'arrêté de 1980 : la règle est départementale et varie d'un département à l'autre.;haute;
NOT-0018;T2 — Accès des secours, implantation, façades;propagation du feu par les façades;Règles limitant la transmission du feu d'un niveau à l'autre par la façade, notamment par la règle C + D.;C+D | règle du C plus D | le feu qui monte par la façade;;;CO 19 | CO 20 | CO 21 | CO 22;;arr. 31/01/1986;instruction technique n° 249;type_erp | famille_habitation;interpretatif;conception | exploitation;architecte | gestionnaire;;a_verifier;
NOT-0019;T2 — Accès des secours, implantation, façades;système d'isolation thermique par l'extérieur;Complexe d'isolation rapporté en façade, soumis à des règles de recoupement de lame d'air et de protection des baies lorsque l'isolant est combustible.;ITE | isolation par l'extérieur | on met de l'isolant sur la façade | rénovation énergétique;;;;;;instruction technique n° 249 | guides de préconisations ITE;famille_habitation | type_erp;interpretatif;conception | exploitation;architecte | gestionnaire;Point de friction majeur entre performance énergétique et sécurité incendie en réhabilitation.;a_verifier;
NOT-0020;T3 — Structure, compartimentage, comportement au feu;résistance au feu;Aptitude d'un élément à conserver pendant une durée déterminée sa capacité portante (R), son étanchéité (E) et son isolation thermique (I).;coupe-feu | CF 1 heure | pare-flamme | PF 1/2 heure | tenue au feu | degré coupe-feu;CF (coupe-feu) -> EI ou REI (2004-03-22) | PF (pare-flamme) -> E ou EI partiel (2004-03-22) | SF (stabilité au feu) -> R (2004-03-22);;CO 11 | CO 12;R. 4216-1 et s.;arr. 31/01/1986 art. 7 et s.;arrêté du 22/03/2004;categorie_erp | famille_habitation | hauteur_plancher_bas;reglementaire;conception | exploitation;architecte | dirigeant | gestionnaire;PIÈGE N°2 : « coupe-feu » ne figure plus dans les textes postérieurs à 2004 mais reste employé par tous. Chercher EI / REI.;haute;
NOT-0021;T3 — Structure, compartimentage, comportement au feu;stabilité au feu des structures;Durée pendant laquelle les éléments porteurs conservent leur capacité portante en situation d'incendie.;SF 1 heure | tenue de la charpente | est-ce que ça tient;SF -> R (2004-03-22);;CO 12;R. 4216-1 et s.;arr. 31/01/1986 art. 7 et s.;;categorie_erp | hauteur_plancher_bas | nb_niveaux;reglementaire;conception | exploitation;architecte | dirigeant;En code du travail, l'exigence de stabilité est ténue pour les bâtiments industriels : vérifier si elle procède plutôt de l'ICPE ou du contrat d'assurance.;a_verifier;
NOT-0022;T3 — Structure, compartimentage, comportement au feu;procès-verbal de classement;Document délivré par un laboratoire agréé attestant du classement de réaction ou de résistance au feu d'un produit ou d'un ouvrage.;PV feu | certificat | fiche technique | attestation du fabricant | le doc du fournisseur;;;;;;arrêté du 21/11/2002 | arrêté du 22/03/2004;date_effet;reglementaire;conception | exploitation;architecte | dirigeant | gestionnaire;Vérifier la validité, le domaine d'emploi et la mise en œuvre couverte : un PV hors domaine ne vaut rien.;a_verifier;
NOT-0023;T3 — Structure, compartimentage, comportement au feu;réaction au feu;Aliment que constitue un matériau pour le développement du feu, exprimé par les euroclasses.;M0 | M1 | classement au feu du revêtement | matériau ininflammable | A2-s1,d0 | Bfl-s1;M0 à M4 -> euroclasses A1 à F (2002-11-21);;AM 1 à AM 8;R. 4216-1 et s.;arr. 31/01/1986;arrêté du 21/11/2002;type_erp | niveau_local;reglementaire;conception | exploitation;architecte;"Les classements M subsistent dans les documents anciens ; la table de correspondance figure à l'arrêté du 21/11/2002.";haute;
NOT-0024;T3 — Structure, compartimentage, comportement au feu;local à risques particuliers;Local classé à risques moyens ou importants en raison de son contenu ou de son activité, soumis à des exigences d'isolement renforcées.;local technique | local à risque | la chaufferie | le local archives | réserve;;local à risques particuliers [CT] : le code du travail parle de locaux présentant des risques particuliers d'incendie ou d'explosion : périmètre et conséquences distincts;CO 27 | CO 28;R. 4216-1 et s. | R. 4227-22 et s.;;;nature_risque | surface_local;reglementaire;conception | exploitation;architecte | dirigeant;;haute;
NOT-0025;T3 — Structure, compartimentage, comportement au feu;calfeutrement de traversée;Rétablissement du degré coupe-feu d'une paroi traversée par un conduit, un câble ou une canalisation.;rebouchage | on a percé la dalle | passage de câbles | trou dans le mur;;;CO 30 | CO 31 | CO 32 | CO 33;;arr. 31/01/1986 art. 25 et s.;;corpus;reglementaire;conception | exploitation;architecte | gestionnaire;Défaut le plus fréquent en patrimoine existant, généré par les passages successifs de réseaux.;a_verifier;
NOT-0026;T3 — Structure, compartimentage, comportement au feu;clapet coupe-feu;Dispositif d'obturation automatique rétablissant le degré coupe-feu d'une paroi traversée par un conduit aéraulique.;clapet | volet coupe-feu | trappe dans la gaine;;;CO 31;;;instruction technique n° 246;corpus;reglementaire;conception | exploitation;architecte | dirigeant | gestionnaire;;a_verifier;
NOT-0027;T3 — Structure, compartimentage, comportement au feu;gaine technique;Volume vertical ou horizontal contenant des conduits ou des réseaux, soumis à des règles de recoupement.;gaine | trémie | colonne montante | le vide technique;;;CO 30 à CO 33;;arr. 31/01/1986 art. 25 et s.;;corpus | famille_habitation;reglementaire;conception | exploitation;architecte | gestionnaire;;a_verifier;
NOT-0028;T3 — Structure, compartimentage, comportement au feu;plafond suspendu;Plafond rapporté créant un plénum, soumis à des exigences de réaction au feu et de recoupement des vides.;faux plafond | plénum | le vide au-dessus des dalles;;;AM 4;R. 4216-1 et s.;;;surface_local;reglementaire;conception | exploitation;architecte | dirigeant;;a_verifier;
NOT-0029;T3 — Structure, compartimentage, comportement au feu;cloisonnement traditionnel;Mode de distribution intérieure fondé sur des locaux et circulations recoupés, par opposition aux secteurs et compartiments.;recoupement | cloisonnement | découper en zones;;;CO 24 | CO 25 | CO 26;;;;type_erp | categorie_erp;reglementaire;conception | exploitation;architecte;;a_verifier;
NOT-0030;T3 — Structure, compartimentage, comportement au feu;secteur;Mode de distribution alternatif au cloisonnement traditionnel, fondé sur des volumes séparés par des parois coupe-feu et des dispositifs particuliers.;grande surface sans cloisons | zone;;;CO 24 | CO 25;;;;type_erp | categorie_erp;reglementaire;conception | exploitation;architecte;;a_verifier;
NOT-0031;T3 — Structure, compartimentage, comportement au feu;compartiment;Volume délimité par des parois coupe-feu au sein duquel l'évacuation est différée, admis dans certaines configurations.;évacuation horizontale | transfert latéral;;;CO 24 | CO 25;;;;type_erp | categorie_erp;reglementaire;conception | exploitation;architecte;;a_verifier;
NOT-0032;T3 — Structure, compartimentage, comportement au feu;volume libre intérieur;Volume intéressant plusieurs niveaux, soumis à des dispositions particulières de désenfumage et d'évacuation.;atrium | patio couvert | vide sur plusieurs étages | mezzanine ouverte;;;CO 24 à CO 26;;;instruction technique n° 263;type_erp | categorie_erp | nb_niveaux;interpretatif;conception | exploitation;architecte;;a_verifier;
NOT-0033;T3 — Structure, compartimentage, comportement au feu;bloc-porte palier;Porte séparant un logement de la circulation commune, présentant un degré pare-flamme selon la famille.;porte palière | porte d'entrée du logement | la porte du locataire;;;;;arr. 31/01/1986 art. 11 | arr. 31/01/1986 art. 27 | arr. 31/01/1986 art. 32;;famille_habitation;reglementaire;conception | exploitation;gestionnaire;Le remplacement par l'occupant d'un bloc-porte classé par un modèle du commerce est un point de contrôle récurrent.;a_verifier;
NOT-0034;T4 — Dégagements et évacuation;dégagement;Toute partie de la construction permettant le cheminement d'évacuation des occupants : porte, circulation, escalier, sortie.;issue de secours | sortie de secours | porte de secours | les issues | la sortie;;;CO 34 | CO 35 | CO 36 | CO 38 | CO 43;R. 4216-6 et s. | R. 4227-1 | R. 4227-4;arr. 31/01/1986 art. 26 et s.;;effectif_public | effectif_travailleurs | categorie_erp;reglementaire;conception | exploitation;architecte | dirigeant | gestionnaire;"PIÈGE N°3 : « issue de secours » est un terme de chantier absent du règlement. Chercher « dégagement » ramène la règle ; « issue de secours » ne ramène que de la signalisation.";haute;
NOT-0035;T4 — Dégagements et évacuation;unité de passage;Unité de largeur servant au dimensionnement des dégagements.;UP | largeur de porte | combien de centimètres;;;CO 36 | CO 38;R. 4216-8;;;effectif_public | effectif_travailleurs;reglementaire;conception | exploitation;architecte | dirigeant;;haute;
NOT-0036;T4 — Dégagements et évacuation;dégagement accessoire;Dégagement compensant une insuffisance des dégagements normaux, comptabilisé de façon limitée.;sortie de secours en plus | la petite porte du fond;;;CO 34 | CO 39 | CO 41;;;;effectif_public;reglementaire;conception | exploitation;architecte;Ne pas confondre avec le dégagement supplémentaire ni avec le dégagement de secours.;a_verifier;
NOT-0037;T4 — Dégagements et évacuation;circulation horizontale;Cheminement horizontal d'évacuation, éventuellement encloisonné et desservant les dégagements.;couloir | coursive | le hall | circulation;;circulation horizontale commune [HAB] : en habitation, la notion est indissociable du régime des parties communes;CO 34 | CO 44;;arr. 31/01/1986 art. 26 et s.;;corpus | famille_habitation;reglementaire;conception | exploitation;architecte | gestionnaire;;a_verifier;
NOT-0038;T4 — Dégagements et évacuation;escalier encloisonné;Escalier isolé du reste de la construction par des parois coupe-feu et un dispositif de fermeture.;cage d'escalier | escalier fermé | l'escalier;;;CO 50 | CO 51 | CO 52 | CO 53 | CO 55;;arr. 31/01/1986 art. 27 et s.;;categorie_erp | famille_habitation;reglementaire;conception | exploitation;architecte | gestionnaire;;haute;
NOT-0039;T4 — Dégagements et évacuation;escalier à l'air libre;Escalier dont une paroi comporte des vides suffisants sur l'extérieur, dispensé d'encloisonnement.;escalier extérieur | escalier ouvert;;;CO 52;;arr. 31/01/1986 art. 27 et s.;;famille_habitation | categorie_erp;reglementaire;conception | exploitation;architecte | gestionnaire;;a_verifier;
NOT-0040;T4 — Dégagements et évacuation;escalier unique;Configuration de desserte par un seul escalier, admise sous conditions d'effectif, de hauteur et de mesures compensatoires.;un seul escalier | il n'y a qu'une cage;;;CO 39 | CO 40;;arr. 31/01/1986 art. 27 et s.;;categorie_erp | famille_habitation | nb_niveaux;reglementaire;conception | exploitation;architecte | gestionnaire;;a_verifier;
NOT-0041;T4 — Dégagements et évacuation;distance à parcourir;Longueur du cheminement mesurée suivant l'axe des circulations jusqu'à une sortie ou un escalier protégé.;distance de fuite | à quelle distance de la sortie | combien de mètres;;;CO 43;R. 4216-6 et s.;arr. 31/01/1986 art. 12;;corpus | niveau_local;reglementaire;conception | exploitation;architecte | dirigeant;;haute;
NOT-0042;T4 — Dégagements et évacuation;sens d'ouverture des portes;Règle imposant, au-delà d'un effectif donné, l'ouverture des portes dans le sens de l'évacuation.;porte qui s'ouvre vers l'extérieur | sens de la porte;;;CO 45;R. 4227-1 et s.;;;effectif_public | effectif_travailleurs;reglementaire;conception | exploitation;architecte | dirigeant;;haute;
NOT-0043;T4 — Dégagements et évacuation;verrouillage des issues;Régime des dispositifs de condamnation ou de contrôle d'accès équipant une porte de sortie de secours.;porte fermée à clé | contrôle d'accès | j'ai verrouillé pour le vol | barre anti-panique | digicode sur la sortie;;;CO 46;R. 4227-4 | R. 4227-5;;;corpus | effectif_public;reglementaire;conception | exploitation;architecte | dirigeant | gestionnaire;Conflit récurrent entre sûreté et sécurité : la réponse est technique (dispositif admis), pas organisationnelle.;haute;
NOT-0044;T4 — Dégagements et évacuation;maintien des dégagements libres;Obligation permanente de laisser les dégagements exempts de tout obstacle et de tout dépôt.;on stocke dans le couloir | encombrement | les poussettes dans le hall | les vélos dans l'escalier | cartons devant la porte;;;CO 36;R. 4227-4 | R. 4227-11;arr. 31/01/1986;règlement sanitaire départemental;corpus;reglementaire;exploitation;dirigeant | gestionnaire;En habitation, le fondement est contractuel et sanitaire davantage que constructif.;haute;
NOT-0045;T4 — Dégagements et évacuation;lieu sûr;Endroit où les personnes évacuées sont à l'abri des effets de l'incendie.;point de rassemblement | où on se retrouve dehors | zone de regroupement;;;;R. 4227-1;;;effectif_travailleurs;usage_professionnel;exploitation;dirigeant;« Point de rassemblement » n'est pas un terme réglementaire : sa désignation relève de la consigne de sécurité incendie.;a_verifier;
NOT-0046;T4 — Dégagements et évacuation;espace d'attente sécurisé;Zone protégée permettant à une personne ne pouvant évacuer d'attendre l'intervention des secours.;EAS | zone refuge | local pour les PMR | où mettre les personnes handicapées;;;CO 57 | CO 58 | CO 59 | CO 60;R. 4216-2-1 | R. 4214-26 | R. 4214-27 | R. 4214-28;;;categorie_erp | nb_niveaux;reglementaire;conception | exploitation;architecte | dirigeant;Notion absente du corpus habitation : ne pas la transposer aux logements.;haute;
NOT-0047;T4 — Dégagements et évacuation;évacuation différée;Mode d'évacuation reportant la mise à l'abri définitive de certains occupants, organisé par les consignes.;on ne fait pas sortir tout le monde | mise à l'abri | évacuation par phases;;;CO 57 à CO 60;R. 4227-37 | R. 4227-38;;;;reglementaire;exploitation;architecte | dirigeant;;a_verifier;
NOT-0048;T5 — Désenfumage et ventilation;désenfumage;Extraction des fumées et gaz de combustion destinée à maintenir praticables les cheminements d'évacuation.;évacuation des fumées | trappe de fumée | les fumées | extraction;;;DF 1 à DF 10;R. 4216-13 | R. 4216-14 | R. 4216-15;arr. 31/01/1986 art. 30 et s.;instruction technique n° 246 | arrêté du 05/08/1992;corpus | surface_local | niveau_local;reglementaire;conception | exploitation;architecte | dirigeant | gestionnaire;;haute;
NOT-0049;T5 — Désenfumage et ventilation;dispositif d'évacuation naturelle de fumées et de chaleur;Ouvrant en toiture ou en façade assurant l'évacuation naturelle des fumées.;DENFC | exutoire | trappe de désenfumage | lanterneau | les capots sur le toit;;;DF 4 à DF 8;;;instruction technique n° 246;surface_local;reglementaire;conception | exploitation;architecte | dirigeant | gestionnaire;;haute;
NOT-0050;T5 — Désenfumage et ventilation;surface utile d'évacuation des fumées;Surface efficace d'un dispositif d'évacuation, distincte de sa surface géométrique.;SUE | surface de désenfumage | combien de mètres carrés d'exutoire;;;DF 4 et s.;;;instruction technique n° 246;surface_local;interpretatif;conception | exploitation;architecte;;a_verifier;
NOT-0051;T5 — Désenfumage et ventilation;amenée d'air;Dispositif assurant l'apport d'air compensant l'extraction des fumées.;entrée d'air | air frais | compensation;;;DF 4 et s.;;;instruction technique n° 246;;reglementaire;conception | exploitation;architecte;;a_verifier;
NOT-0052;T5 — Désenfumage et ventilation;local sans ouverture sur l'extérieur;Local ne disposant d'aucune baie donnant sur l'extérieur, soumis à des exigences renforcées de désenfumage.;local aveugle | pas de fenêtre | local borgne | en sous-sol;;;DF 4 à DF 6;R. 4216-13;;;niveau_local | surface_local;reglementaire;conception | exploitation;architecte | dirigeant;;haute;
NOT-0053;T5 — Désenfumage et ventilation;dispositif de sécurité collective (VMC gaz);Organe assurant la mise en sécurité d'une installation de ventilation mécanique desservant des appareils à gaz raccordés.;VMC gaz | DSC | la ventilation avec les chaudières | sécurité collective;;;;;arr. 31/01/1986;arrêté du 23/02/2018 (installations de gaz);famille_habitation;reglementaire;exploitation;gestionnaire;"Point de vérification périodique majeur en patrimoine locatif ; l'inaccessibilité des logements est le principal obstacle.";a_verifier;
NOT-0054;T5 — Désenfumage et ventilation;conduit de fumée;Conduit d'évacuation des produits de combustion, soumis à des obligations d'entretien et de ramonage.;cheminée | ramonage | le conduit de la chaudière;;;;;;règlement sanitaire départemental | décret n° 87-712 (réparations locatives);qualite_demandeur;reglementaire;exploitation;gestionnaire;La répartition propriétaire / occupant se lit dans le décret sur les réparations locatives, pas dans le CCH.;a_verifier;
NOT-0055;T6 — Alarme, détection, moyens de secours;équipement d'alarme;Ensemble des dispositifs assurant la diffusion du signal d'évacuation, classé en types 1 à 4.;alarme incendie | la sirène | l'alarme | type 4 | sonnerie;;alerte [tous] : l'alarme prévient les occupants, l'alerte prévient les secours : ne jamais les confondre;MS 61 à MS 67;R. 4227-34 | R. 4227-35 | R. 4227-36;;;type_erp | categorie_erp | effectif_travailleurs;reglementaire;conception | exploitation;architecte | dirigeant;PIÈGE N°4 : reformuler systématiquement avant d'instruire. Notion absente de l'habitation ordinaire.;haute;
NOT-0056;T6 — Alarme, détection, moyens de secours;alerte;Transmission de l'information aux services publics de secours.;appeler les pompiers | prévenir les secours | le 18;;;MS 70 et s.;R. 4227-37;;;;reglementaire;exploitation;dirigeant;;a_verifier;
NOT-0057;T6 — Alarme, détection, moyens de secours;système de sécurité incendie;Ensemble des matériels assurant la détection, la mise en sécurité et l'alarme, classé de la catégorie A à E.;SSI | la centrale | le tableau incendie | l'armoire | catégorie A;;;MS 53 à MS 60;;;norme NF S 61-931 et suivantes;type_erp | categorie_erp;reglementaire;conception | exploitation;architecte;Les normes NF S 61-93x sont sous droits : les référencer, jamais les restituer.;haute;
NOT-0058;T6 — Alarme, détection, moyens de secours;centralisateur de mise en sécurité incendie;Équipement recevant les informations et commandant les dispositifs actionnés de sécurité.;CMSI | la centrale de mise en sécurité;;;MS 53 à MS 60;;;norme NF S 61-931;;reglementaire;conception | exploitation;architecte;;a_verifier;
NOT-0059;T6 — Alarme, détection, moyens de secours;détection automatique d'incendie;Installation assurant la détection précoce d'un sinistre et le déclenchement des asservissements.;détection | détecteurs au plafond | DAI | capteurs de fumée;;;MS 56;R. 4227-30;;;type_erp | categorie_erp | nature_risque;reglementaire;conception | exploitation;architecte | dirigeant;Distinguer détection généralisée et détection limitée aux seuls locaux à risques ou aux circulations.;a_verifier;
NOT-0060;T6 — Alarme, détection, moyens de secours;détecteur de fumée normalisé;Détecteur autonome avertisseur installé dans les logements, à la charge du propriétaire pour l'installation.;DAAF | détecteur de fumée | le détecteur du logement | l'alarme du locataire;;;;;;CCH L. 142-2 et s. (ex-L. 129-8) | arrêté du 05/02/2013 | décret n° 2011-36;qualite_demandeur;reglementaire;exploitation;gestionnaire;Répartition légale : installation au propriétaire, entretien à l'occupant. Ne pas confondre avec la DAI d'un SSI.;haute;
NOT-0061;T6 — Alarme, détection, moyens de secours;extincteur portatif;Appareil mobile d'extinction, dont le nombre et la nature sont fonction de la surface et des risques.;extincteur | les bouteilles rouges | un par étage;;;MS 38 | MS 39;R. 4227-28 | R. 4227-29;;;surface_local | nature_risque;reglementaire;conception | exploitation;dirigeant | architecte;Notion absente du corpus habitation : leur présence en parties communes relève de l'assurance ou du volontariat.;haute;
NOT-0062;T6 — Alarme, détection, moyens de secours;robinet d'incendie armé;Poste fixe de première intervention alimenté en eau.;RIA | le tuyau dans le placard | dévidoir;;;MS 14 à MS 17;R. 4227-30;;;type_erp | nature_risque;reglementaire;conception | exploitation;architecte | dirigeant;;a_verifier;
NOT-0063;T6 — Alarme, détection, moyens de secours;système d'extinction automatique du type sprinkleur;Installation fixe assurant l'extinction ou le contrôle automatique d'un incendie.;sprinkler | sprinklage | extinction automatique | arrosage automatique | ESFR;;;MS 25 à MS 30;R. 4227-30;;règles APSAD R1 (contractuel);type_erp | categorie_erp | nature_risque;reglementaire;conception | exploitation;architecte | dirigeant;Souvent exigé par l'assureur avant de l'être par le règlement : qualifier le fondement avant de répondre.;a_verifier;
NOT-0064;T6 — Alarme, détection, moyens de secours;colonne sèche;Canalisation fixe non alimentée en permanence, mise en charge par les secours.;colonne sèche | prise pompiers dans la cage | colonne humide;;;MS 18 à MS 21;;arr. 31/01/1986 art. 98;;hauteur_plancher_bas | famille_habitation | categorie_erp;reglementaire;conception | exploitation;architecte | gestionnaire;;a_verifier;
NOT-0065;T6 — Alarme, détection, moyens de secours;éclairage de sécurité;Éclairage assurant l'évacuation (balisage) et, le cas échéant, l'ambiance ou l'anti-panique.;BAES | éclairage de secours | les blocs verts | bloc de secours;;;EC 7 à EC 15;R. 4227-13 | R. 4227-14;arr. 31/01/1986 art. 36;;corpus | effectif_public | effectif_travailleurs;reglementaire;conception | exploitation;architecte | dirigeant | gestionnaire;;haute;
NOT-0066;T6 — Alarme, détection, moyens de secours;consigne de sécurité incendie;Document affiché précisant le matériel d'extinction, les personnes désignées, les modalités d'alerte et la conduite de l'évacuation.;consignes | la fiche affichée | plan d'évacuation | affichage;;plan d'évacuation [CT] : le code du travail impose une consigne, dont le plan n'est qu'un support | plan d'intervention [ERP] : destiné aux secours, distinct du plan d'évacuation destiné aux occupants;MS 41;R. 4227-37 | R. 4227-38;;arrêté du 04/11/1993 (signalisation);;reglementaire;exploitation;dirigeant | architecte | gestionnaire;;haute;
