id;profil;question_utilisateur;reformulation_normative;corpus_attendu;articles_attendus;notions_attendues;notions_ids;variables_requises;comportement_attendu;difficulte;commentaire_evaluateur;VALIDATION_EXPERT;REPONSE_SYSTEME
REF-A-44;architecte;Quand la détection est-elle généralisée ?;Dans quels cas la détection automatique d'incendie est-elle exigée dans l'ensemble de l'établissement ?;ERP;MS 56;détection automatique d'incendie;NOT-0059;type_erp|categorie_erp;demander_precision;2;;;
REF-A-45;architecte;À partir de quand faut-il du sprinkleur ?;À partir de quels seuils un système d'extinction automatique est-il exigé ?;ERP;MS 25 à MS 30;système d'extinction automatique du type sprinkleur|référentiel assureur;NOT-0063|NOT-0076;type_erp|categorie_erp|surface_local;repondre;3;Qualifier réglementaire vs contractuel dans la réponse.;;
REF-A-46;architecte;Quels moyens de secours et quels besoins en eau ?;Quels moyens de secours sont exigés et selon quelles modalités les besoins en eau sont-ils arrêtés ?;ERP|DECI;MS 5 à MS 39|CGCT R. 2225-1 et s.|RDDECI départemental;extincteur portatif|robinet d'incendie armé|colonne sèche|défense extérieure contre l'incendie;NOT-0061|NOT-0062|NOT-0064|NOT-0017;type_erp|surface_local;orienter_corpus;2;La DECI est départementale : ne pas la chercher dans l'arrêté de 1980.;;
REF-A-47;architecte;C'est quoi un espace d'attente sécurisé ?;Quelles sont les caractéristiques exigées des espaces d'attente sécurisés ?;ERP|CT;CO 57|CO 58|CO 59|CO 60|R. 4216-2-1;espace d'attente sécurisé;NOT-0046;categorie_erp|nb_niveaux;repondre;1;;;
REF-A-48;architecte;Comment articuler évacuation différée et accessibilité ?;Quelles solutions équivalentes sont admises et selon quelles modalités l'évacuation différée est-elle organisée ?;ERP;CO 57 à CO 60;évacuation différée|espace d'attente sécurisé|consigne de sécurité incendie;NOT-0047|NOT-0046|NOT-0066;categorie_erp;repondre;2;;;
REF-A-49;architecte;Que doit contenir la notice de sécurité ?;Quelles pièces la notice descriptive de sécurité doit-elle comporter et à quel stade la commission est-elle saisie ?;ERP;GE 1 et s.|CCH R. 143-24 et s.;notice descriptive de sécurité|autorisation de travaux|commission de sécurité|coordonnateur du système de sécurité incendie;NOT-0089|NOT-0090|NOT-0091|NOT-0096;type_erp|categorie_erp;repondre;1;;;
REF-A-50;architecte;Quelles vérifications avant l'ouverture au public ?;Quelles vérifications techniques conditionnent l'autorisation d'ouverture et quelles obligations périodiques suivent ?;ERP;GE 2 à GE 10|CCH R. 143-38 et s.|CCH R. 143-34;vérifications techniques|autorisation d'ouverture au public|registre de sécurité;NOT-0094|NOT-0092|NOT-0093;type_erp|categorie_erp;repondre;1;;;
REF-E-01;dirigeant;J'ai du public au rez-de-chaussée et mes salariés à l'étage : quelles règles ?;Selon quelles modalités le code du travail s'applique-t-il concurremment au règlement ERP ?;CT|ERP;R. 4211-1 et s.|GN 1;application aux bâtiments existants|type d'exploitation;NOT-0009|NOT-0001;presence_public|presence_travailleurs;orienter_corpus;2;Item pivot de la superposition de corpus.;;
REF-E-02;dirigeant;Je suis locataire : qui est responsable, moi ou le bailleur ?;Selon quelle répartition s'exercent les obligations du maître d'ouvrage et celles de l'employeur ?;CT;R. 4211-1 et s.|L. 4121-1;application aux bâtiments existants;NOT-0009;qualite_demandeur;repondre;2;Le bail ne modifie pas l'obligation légale de l'employeur.;;
REF-E-03;dirigeant;Qu'est-ce qui pèse sur le maître d'ouvrage et qu'est-ce qui pèse sur moi ?;Quelles obligations incombent au maître d'ouvrage et à compter de quand l'employeur est-il seul débiteur ?;CT;R. 4211-1 et s.|L. 4121-1;application aux bâtiments existants;NOT-0009;stade|qualite_demandeur;repondre;2;;;
REF-E-04;dirigeant;Si un salarié est blessé dans un incendie, je risque quoi ?;Quels manquements sont susceptibles d'engager la responsabilité pénale de l'employeur ?;CT;L. 4741-1|L. 4121-1;mise en demeure;NOT-0077;qualite_demandeur;repondre;3;Réponse à borner : le système documente, il ne qualifie pas une infraction.;;
REF-E-05;dirigeant;L'inspection du travail peut-elle arrêter mon activité ?;Dans quelles conditions l'agent de contrôle peut-il mettre en demeure ou ordonner l'arrêt temporaire de l'activité ?;CT;L. 4721-1|L. 4731-1|L. 4732-1;mise en demeure;NOT-0077;;repondre;1;;;
REF-E-06;dirigeant;Mes locaux datent de 1985, dois-je tout refaire ?;Les dispositions relatives à la conception des lieux de travail sont-elles applicables aux bâtiments antérieurs ?;CT;R. 4211-1 et s.;application aux bâtiments existants;NOT-0009;date_effet|existant_ou_neuf;demander_precision;3;;;
REF-E-07;dirigeant;Comment je compte mes effectifs ? Les intérimaires comptent ?;Selon quelles modalités l'effectif est-il décompté et quels seuils déclenchent quelles obligations ?;CT;L. 1111-2|L. 1111-3|R. 4227-34|R. 4227-37;effectif (décompte code du travail);NOT-0004;effectif_travailleurs;repondre;1;;;
REF-E-08;dirigeant;Le risque incendie doit-il figurer dans mon document unique ?;Selon quelles modalités le risque d'incendie est-il transcrit dans le DUERP ?;CT;L. 4121-3|L. 4121-3-1;document unique d'évaluation des risques professionnels;NOT-0067;;repondre;1;;;
REF-E-09;dirigeant;Qu'est-ce qui change au-dessus de 50 salariés ?;Quelles obligations sont subordonnées à la réunion habituelle de plus de cinquante personnes ?;CT;R. 4227-34|R. 4227-37|R. 4216-6 et s.;effectif (décompte code du travail)|équipement d'alarme|consigne de sécurité incendie;NOT-0004|NOT-0055|NOT-0066;effectif_travailleurs;repondre;1;;;
REF-E-10;dirigeant;Comment gérer le travail isolé et les horaires de nuit ?;Quelles mesures l'employeur prend-il pour assurer la perception de l'alarme et l'évacuation des travailleurs isolés ?;CT;L. 4121-1|R. 4227-34 à R. 4227-36;équipement d'alarme|document unique d'évaluation des risques professionnels;NOT-0055|NOT-0067;effectif_travailleurs;repondre;2;;;
REF-E-11;dirigeant;Dois-je consulter le CSE sur l'incendie ?;Sur quels projets le comité social et économique est-il consulté ?;CT;L. 2312-8|L. 2312-9|L. 2312-27;consultation du comité social et économique;NOT-0079;effectif_travailleurs;repondre;1;;;
REF-E-12;dirigeant;Combien de sorties pour mon atelier ?;Selon quelles règles le nombre, la largeur et la répartition des dégagements sont-ils déterminés ?;CT;R. 4216-6 et s.|R. 4227-1 et s.;dégagement|unité de passage;NOT-0034|NOT-0035;effectif_travailleurs|surface_local;demander_precision;1;;;
REF-E-13;dirigeant;Mes portes doivent-elles s'ouvrir vers l'extérieur ?;À partir de quel effectif les portes s'ouvrent-elles dans le sens de la sortie ?;CT;R. 4227-1 et s.;sens d'ouverture des portes;NOT-0042;effectif_travailleurs;repondre;1;;;
REF-E-14;dirigeant;Quelle distance maximale jusqu'à une sortie pour mes salariés ?;Quelle distance maximale un travailleur peut-il avoir à parcourir depuis son poste ?;CT;R. 4216-6 et s.;distance à parcourir|dégagement;NOT-0041|NOT-0034;niveau_local;repondre;2;;;
REF-E-15;dirigeant;J'ai des postes en sous-sol et une mezzanine de stockage.;Quelles dispositions particulières s'appliquent aux locaux en sous-sol et aux niveaux partiels ?;CT;R. 4216-6 et s.|R. 4216-13;dégagement|local sans ouverture sur l'extérieur|désenfumage;NOT-0034|NOT-0052|NOT-0048;niveau_local|surface_local;repondre;2;;;
REF-E-16;dirigeant;Je peux verrouiller mes issues contre le vol ?;Dans quelles conditions un dispositif de condamnation peut-il équiper une issue de secours ?;CT;R. 4227-4|R. 4227-5;verrouillage des issues|maintien des dégagements libres;NOT-0043|NOT-0044;;repondre;1;Conversion lexicale « issue de secours » -> dégagement.;;
REF-E-17;dirigeant;On stocke dans les couloirs en période de pointe, c'est grave ?;Quelles obligations pèsent sur l'employeur quant au maintien des dégagements libres ?;CT;R. 4227-4|R. 4227-11;maintien des dégagements libres|dégagement;NOT-0044|NOT-0034;;repondre;1;;;
REF-E-18;dirigeant;Faut-il un point de rassemblement matérialisé ?;L'obligation d'évacuation vers un lieu sûr implique-t-elle la désignation d'un point de rassemblement ?;CT;R. 4227-1|R. 4227-37;lieu sûr|consigne de sécurité incendie;NOT-0045|NOT-0066;;signaler_non_reglementaire;2;Le terme n'est pas réglementaire : la réponse doit le dire.;;
REF-E-19;dirigeant;Comment évacuer un salarié en fauteuil ?;Quelles dispositions régissent l'évacuation ou la mise à l'abri préalable des travailleurs handicapés ?;CT;R. 4216-2-1|R. 4214-26|R. 4214-27|R. 4214-28;espace d'attente sécurisé|évacuation différée;NOT-0046|NOT-0047;nb_niveaux;repondre;2;;;
REF-E-20;dirigeant;Mes locaux doivent-ils être recoupés coupe-feu ?;Selon quels critères les locaux sont-ils isolés ou recoupés par des parois résistant au feu ?;CT;R. 4216-1 et s.|arrêté du 05/08/1992;résistance au feu|local à risques particuliers;NOT-0020|NOT-0024;surface_local|nature_risque;demander_precision;2;Conversion « coupe-feu » -> EI/REI.;;
REF-E-21;dirigeant;Qu'est-ce qui est un local à risque chez moi ?;Quels locaux sont regardés comme présentant des risques particuliers d'incendie ou d'explosion ?;CT;R. 4216-1 et s.|R. 4227-22 et s.;local à risques particuliers|matières inflammables;NOT-0024|NOT-0075;nature_risque;repondre;1;Attention au faux ami avec la notion ERP.;;
REF-E-22;dirigeant;Le désenfumage est-il obligatoire chez moi ?;Quels locaux et escaliers doivent être désenfumés et à partir de quels seuils ?;CT;R. 4216-13|R. 4216-14|R. 4216-15|arrêté du 05/08/1992;désenfumage|local sans ouverture sur l'extérieur;NOT-0048|NOT-0052;surface_local|niveau_local;demander_precision;2;;;
REF-E-23;dirigeant;Mes cloisons de bureaux ont-elles un classement à respecter ?;Quelles exigences de réaction au feu s'appliquent aux revêtements et cloisons des locaux de travail ?;CT;R. 4216-1 et s.|arrêté du 21/11/2002;réaction au feu|plafond suspendu;NOT-0023|NOT-0028;;repondre;2;;;
REF-E-24;dirigeant;Ma charpente métallique n'est pas protégée, c'est un problème ?;Un degré de stabilité au feu est-il exigé des éléments porteurs au titre du code du travail ?;CT|ICPE;R. 4216-1 et s.;stabilité au feu des structures|installation classée pour la protection de l'environnement;NOT-0021|NOT-0012;nature_risque;orienter_corpus;3;Souvent l'exigence procède de l'ICPE ou de l'assurance, pas du code du travail.;;
REF-E-25;dirigeant;Mon plénum traverse tout l'étage, faut-il le recouper ?;Les plénums et vides techniques sont-ils recoupés pour s'opposer à la propagation ?;CT;R. 4216-1 et s.;plafond suspendu|calfeutrement de traversée;NOT-0028|NOT-0025;surface_local;repondre;2;;;
REF-E-26;dirigeant;Combien de bidons de solvant puis-je garder à l'atelier ?;Quelles quantités de matières inflammables peuvent être détenues dans un local de travail ?;CT;R. 4227-20 à R. 4227-27;matières inflammables|local à risques particuliers;NOT-0075|NOT-0024;nature_risque;repondre;1;;;
REF-E-27;dirigeant;Mes stockages me font-ils basculer en ICPE ?;À partir de quels seuils les stockages relèvent-ils de la nomenclature ICPE et comment les régimes s'articulent-ils ?;CT|ICPE;Code de l'environnement L. 511-1 et s.|nomenclature ICPE;installation classée pour la protection de l'environnement|matières inflammables;NOT-0012|NOT-0075;nature_risque|surface_local;orienter_corpus;3;;;
REF-E-28;dirigeant;Ai-je des zones ATEX ?;Selon quelles modalités l'employeur subdivise-t-il en zones les emplacements où des atmosphères explosives peuvent se présenter ?;CT;R. 4227-42 et s.;atmosphère explosive;NOT-0068;nature_risque;repondre;2;;;
REF-E-29;dirigeant;Le document ATEX est-il obligatoire chez moi ?;Dans quels cas le document relatif à la protection contre les explosions est-il établi ?;CT;R. 4227-42 et s.;document relatif à la protection contre les explosions|atmosphère explosive;NOT-0069|NOT-0068;nature_risque;repondre;1;;;
REF-E-30;dirigeant;Quelles règles pour mon local de charge de chariots ?;Quelles exigences de ventilation, d'isolement et d'installations électriques s'appliquent aux locaux de charge ?;CT;R. 4227-22 et s.;local de charge d'accumulateurs|local à risques particuliers;NOT-0074|NOT-0024;nature_risque;repondre;2;;;
REF-E-31;dirigeant;Je peux stocker des palettes le long de ma façade ?;Quelles dispositions régissent l'entreposage de matières combustibles à proximité des façades et des issues ?;CT|ICPE;R. 4227-4|R. 4227-20 et s.;maintien des dégagements libres|matières inflammables;NOT-0044|NOT-0075;nature_risque;repondre;2;Souvent traité par l'arrêté préfectoral ICPE.;;
REF-E-32;dirigeant;Un prestataire vient souder : il faut un permis de feu ?;Les travaux par points chauds figurent-ils au nombre des travaux dangereux soumis à plan de prévention écrit ?;CT;R. 4512-6|R. 4512-7|arrêté du 19/03/1993;travaux par point chaud;NOT-0070;;repondre;1;Conversion : le terme réglementaire est le plan de prévention.;;
REF-E-33;dirigeant;Combien d'extincteurs et où ?;Selon quelles règles le nombre, la nature et l'implantation des extincteurs sont-ils déterminés ?;CT;R. 4227-28|R. 4227-29;extincteur portatif;NOT-0061;surface_local|nature_risque;repondre;1;;;
REF-E-34;dirigeant;Des RIA ou du sprinkleur sont-ils obligatoires ?;Dans quels cas des RIA ou installations fixes d'extinction sont-ils exigés lorsque la nature des risques le justifie ?;CT;R. 4227-30;robinet d'incendie armé|système d'extinction automatique du type sprinkleur|référentiel assureur;NOT-0062|NOT-0063|NOT-0076;nature_risque;repondre;2;;;
REF-E-35;dirigeant;C'est la loi ou c'est mon assureur qui l'exige ?;Quelles exigences procèdent de la réglementation et quelles autres de stipulations contractuelles ?;CT;R. 4227-30;référentiel assureur;NOT-0076;;signaler_non_reglementaire;2;Item central de qualification du niveau de normativité.;;
REF-E-36;dirigeant;Mon alarme est-elle audible partout, y compris dans l'atelier bruyant ?;Le système d'alarme sonore est-il audible en tout point pendant le temps nécessaire à l'évacuation ?;CT;R. 4227-34|R. 4227-35|R. 4227-36;équipement d'alarme;NOT-0055;effectif_travailleurs;repondre;2;;;
REF-E-37;dirigeant;Faut-il de la détection automatique chez moi ?;Dans quels cas la détection automatique d'incendie est-elle requise ?;CT;R. 4227-30;détection automatique d'incendie;NOT-0059;nature_risque;repondre;2;;;
REF-E-38;dirigeant;Dois-je transmettre l'alarme aux pompiers ?;L'employeur est-il tenu d'assurer la transmission de l'alarme aux services de secours extérieurs ?;CT;R. 4227-37;alerte|équipement d'alarme;NOT-0056|NOT-0055;;repondre;2;Distinction alarme / alerte à opérer explicitement.;;
